Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
738¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":66,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿Program
739¿ImportDeclaration¿¿1271¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ImportDeclaration
740¿ImportDeclaration¿¿1271¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ImportDeclaration
741¿ImportDeclaration¿¿1271¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ImportDeclaration
742¿ImportDeclaration¿¿1271¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ImportDeclaration
743¿ImportDeclaration¿¿1271¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ImportDeclaration
744¿ImportDeclaration¿¿1271¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ImportDeclaration
745¿VariableDeclarator¿¿1271¿v78¿¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿VariableDeclarator
746¿ArrowFunctionExpression¿¿1271¿¿¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿ArrowFunctionExpression
747¿Identifier¿¿0¿str¿¿¿{"start":{"line":8,"column":40},"end":{"line":8,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿Identifier
748¿VariableDeclarator¿¿1273¿v76¿¿¿{"start":{"line":8,"column":65},"end":{"line":8,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/shellkit/childProcess.js"}¿¿VariableDeclarator
