Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1227¿MemberExpression¿¿2130¿¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿MemberExpression
1228¿Identifier¿¿2130¿v115¿¿¿¿¿Identifier
1229¿Identifier¿¿2130¿slice¿¿¿{"start":{"line":24,"column":26},"end":{"line":24,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿Identifier
1230¿Literal¿number¿2130¿¿2¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿Literal
1231¿VariableDeclarator¿¿2130¿envIndex¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿VariableDeclarator
1232¿CallExpression¿¿2130¿¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿CallExpression
1233¿MemberExpression¿¿2130¿¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿MemberExpression
1234¿Identifier¿¿2130¿args¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿Identifier
1235¿Identifier¿¿2130¿indexOf¿¿¿{"start":{"line":25,"column":22},"end":{"line":25,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿Identifier
1236¿Literal¿string¿2130¿¿'--env'¿¿{"start":{"line":25,"column":30},"end":{"line":25,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/little-bit/generate-aws-exports.js"}¿¿Literal
