Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
821¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Program
822¿VariableDeclarator¿¿1469¿v99¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
823¿CallExpression¿¿1469¿¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿CallExpression
824¿Identifier¿¿1469¿require¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
825¿Literal¿string¿1469¿¿'child_process'¿¿{"start":{"line":1,"column":29},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Literal
826¿VariableDeclarator¿¿1469¿execFile¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
827¿MemberExpression¿¿1469¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿MemberExpression
828¿Identifier¿¿1469¿v99¿¿¿¿¿Identifier
829¿Identifier¿¿1469¿execFile¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
830¿VariableDeclarator¿exported¿1469¿v195¿¿¿{"start":{"line":11,"column":15},"end":{"line":78,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
831¿FunctionExpression¿¿1469¿anon¿¿¿{"start":{"line":11,"column":15},"end":{"line":78,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿FunctionExpression
832¿Identifier¿¿0¿message¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
833¿Identifier¿¿0¿args¿¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
834¿Identifier¿¿0¿extra¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
835¿VariableDeclarator¿¿1471¿api¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
836¿MemberExpression¿¿1471¿¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿MemberExpression
837¿Identifier¿¿1471¿extra¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
838¿Identifier¿¿1471¿api¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
839¿VariableDeclarator¿¿1471¿v100¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
840¿MemberExpression¿¿1471¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿MemberExpression
841¿Identifier¿¿1471¿message¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
842¿Identifier¿¿1471¿member¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
843¿VariableDeclarator¿¿1471¿v101¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
844¿MemberExpression¿¿1471¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿MemberExpression
845¿Identifier¿¿1471¿v100¿¿¿¿¿Identifier
846¿Identifier¿¿1471¿roles¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
847¿VariableDeclarator¿¿1471¿v102¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
848¿MemberExpression¿¿1471¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿MemberExpression
849¿Identifier¿¿1471¿v101¿¿¿¿¿Identifier
850¿Identifier¿¿1471¿cache¿¿¿{"start":{"line":14,"column":30},"end":{"line":14,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿Identifier
851¿VariableDeclarator¿¿1471¿v105¿¿¿{"start":{"line":14,"column":41},"end":{"line":14,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ModBot/servermanager.js"}¿¿VariableDeclarator
