Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
450¿VariableDeclarator¿¿733¿duplexer2¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
451¿CallExpression¿¿733¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
452¿Identifier¿¿733¿require¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
453¿Literal¿string¿733¿¿'duplexer2'¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
454¿VariableDeclarator¿exported¿733¿Extract¿¿¿{"start":{"line":9,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
455¿FunctionExpression¿¿733¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿FunctionExpression
456¿Identifier¿¿0¿opts¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
457¿VariableDeclarator¿¿735¿v35¿¿¿{"start":{"line":11,"column":42},"end":{"line":11,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
458¿MemberExpression¿¿735¿¿¿¿{"start":{"line":11,"column":42},"end":{"line":11,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
459¿Identifier¿¿735¿opts¿¿¿{"start":{"line":11,"column":42},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
460¿Identifier¿¿735¿path¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
461¿VariableDeclarator¿¿735¿v36¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
462¿CallExpression¿¿735¿¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
463¿MemberExpression¿¿735¿¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
464¿Identifier¿¿735¿path¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
465¿Identifier¿¿735¿normalize¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
466¿Identifier¿¿735¿v35¿¿¿¿¿Identifier
467¿VariableDeclarator¿¿735¿v37¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
468¿CallExpression¿¿735¿¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
469¿MemberExpression¿¿735¿¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
470¿Identifier¿¿735¿path¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
471¿Identifier¿¿735¿resolve¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
472¿Identifier¿¿735¿v36¿¿¿¿¿Identifier
473¿ExpressionStatement¿¿735¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿ExpressionStatement
474¿AssignmentExpression¿=¿735¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿AssignmentExpression
475¿MemberExpression¿¿735¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
476¿Identifier¿¿735¿opts¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
477¿Identifier¿¿735¿path¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
478¿Identifier¿¿735¿v37¿¿¿¿¿Identifier
479¿VariableDeclarator¿¿735¿parser¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
480¿NewExpression¿¿735¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿NewExpression
481¿Identifier¿¿735¿Parse¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
482¿Identifier¿¿735¿opts¿¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
483¿VariableDeclarator¿¿735¿v38¿¿¿{"start":{"line":15,"column":40},"end":{"line":15,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
484¿ObjectExpression¿¿735¿¿¿¿{"start":{"line":15,"column":40},"end":{"line":15,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿ObjectExpression
485¿Property¿¿735¿¿¿¿{"start":{"line":15,"column":41},"end":{"line":15,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Property
486¿Identifier¿¿735¿objectMode¿¿¿{"start":{"line":15,"column":41},"end":{"line":15,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
487¿Literal¿boolean¿735¿¿true¿¿{"start":{"line":15,"column":53},"end":{"line":15,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
488¿VariableDeclarator¿¿735¿outStream¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
489¿NewExpression¿¿735¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿NewExpression
490¿MemberExpression¿¿735¿¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
491¿Identifier¿¿735¿stream¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
492¿Identifier¿¿735¿Writable¿¿¿{"start":{"line":15,"column":31},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
493¿Identifier¿¿735¿v38¿¿¿¿¿Identifier
494¿VariableDeclarator¿¿735¿v57¿¿¿{"start":{"line":16,"column":2},"end":{"line":41,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
495¿FunctionExpression¿¿735¿anon¿¿¿{"start":{"line":16,"column":21},"end":{"line":41,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿FunctionExpression
496¿Identifier¿¿0¿entry¿¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
497¿Identifier¿¿0¿encoding¿¿¿{"start":{"line":16,"column":43},"end":{"line":16,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
498¿Identifier¿¿0¿cb¿¿¿{"start":{"line":16,"column":53},"end":{"line":16,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
499¿VariableDeclarator¿¿737¿v39¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
500¿MemberExpression¿¿737¿¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
501¿Identifier¿¿737¿opts¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
502¿Identifier¿¿737¿path¿¿¿{"start":{"line":23,"column":39},"end":{"line":23,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
503¿VariableDeclarator¿¿737¿v40¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
504¿MemberExpression¿¿737¿¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
505¿Identifier¿¿737¿entry¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
506¿Identifier¿¿737¿path¿¿¿{"start":{"line":23,"column":51},"end":{"line":23,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
507¿VariableDeclarator¿¿737¿v41¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
508¿CallExpression¿¿737¿¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
509¿MemberExpression¿¿737¿¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
510¿Identifier¿¿737¿v40¿¿¿¿¿Identifier
511¿Identifier¿¿737¿replace¿¿¿{"start":{"line":23,"column":56},"end":{"line":23,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
512¿Literal¿object¿737¿¿/\\/g¿¿{"start":{"line":23,"column":64},"end":{"line":23,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
513¿Literal¿string¿737¿¿'/'¿¿{"start":{"line":23,"column":71},"end":{"line":23,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
514¿VariableDeclarator¿¿737¿extractPath¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
515¿CallExpression¿¿737¿¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
516¿MemberExpression¿¿737¿¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
517¿Identifier¿¿737¿path¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
518¿Identifier¿¿737¿join¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
519¿Identifier¿¿737¿v39¿¿¿¿¿Identifier
520¿Identifier¿¿737¿v41¿¿¿¿¿Identifier
