Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
975¿Identifier¿¿0¿vodId¿¿¿{"start":{"line":8,"column":57},"end":{"line":8,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
976¿VariableDeclarator¿¿1668¿v72¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
977¿CallExpression¿¿1668¿¿¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
978¿Identifier¿¿1668¿require¿¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
979¿Literal¿string¿1668¿¿'util'¿¿{"start":{"line":9,"column":34},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
980¿VariableDeclarator¿¿1668¿promisify¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
981¿MemberExpression¿¿1668¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿MemberExpression
982¿Identifier¿¿1668¿v72¿¿¿¿¿Identifier
983¿Identifier¿¿1668¿promisify¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
984¿VariableDeclarator¿¿1668¿child_process¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
985¿CallExpression¿¿1668¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
986¿Identifier¿¿1668¿require¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
987¿Literal¿string¿1668¿¿'child_process'¿¿{"start":{"line":10,"column":34},"end":{"line":10,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
