Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
987¿Program¿¿-1¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":165,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Program
1013¿CallExpression¿¿1729¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿CallExpression
1014¿MemberExpression¿¿1729¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿MemberExpression
1015¿Identifier¿¿1729¿filename¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1016¿Identifier¿¿1729¿match¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1017¿Literal¿object¿1729¿¿/-still[0-9]*.jpg$/i¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1018¿VariableDeclarator¿¿1729¿v93¿¿¿{"start":{"line":34,"column":11},"end":{"line":35,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1019¿LogicalExpression¿||¿1729¿¿¿¿{"start":{"line":34,"column":11},"end":{"line":35,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿LogicalExpression
1020¿Identifier¿¿1729¿v91¿¿¿¿¿Identifier
1021¿Identifier¿¿1729¿v92¿¿¿¿¿Identifier
1022¿VariableDeclarator¿¿1729¿v94¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1023¿CallExpression¿¿1729¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿CallExpression
1024¿MemberExpression¿¿1729¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿MemberExpression
1025¿Identifier¿¿1729¿filename¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1026¿Identifier¿¿1729¿match¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1027¿Literal¿object¿1729¿¿/-submovie[0-9]*.jpg$/i¿¿{"start":{"line":36,"column":26},"end":{"line":36,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1028¿VariableDeclarator¿¿1729¿v95¿¿¿{"start":{"line":34,"column":11},"end":{"line":36,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1029¿LogicalExpression¿||¿1729¿¿¿¿{"start":{"line":34,"column":11},"end":{"line":36,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿LogicalExpression
1030¿Identifier¿¿1729¿v93¿¿¿¿¿Identifier
1031¿Identifier¿¿1729¿v94¿¿¿¿¿Identifier
1032¿ReturnStatement¿¿1729¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":37,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿ReturnStatement
1033¿Identifier¿¿1729¿v95¿¿¿¿¿Identifier
1034¿BlockStatement¿¿1729¿¿¿¿{"start":{"line":33,"column":31},"end":{"line":38,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿BlockStatement
1035¿VariableDeclarator¿¿1727¿heroWidths¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1036¿ArrayExpression¿¿1727¿¿¿¿{"start":{"line":40,"column":19},"end":{"line":40,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿ArrayExpression
1037¿Literal¿number¿1727¿¿1280¿¿{"start":{"line":40,"column":20},"end":{"line":40,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1038¿Literal¿number¿1727¿¿640¿¿{"start":{"line":40,"column":26},"end":{"line":40,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1039¿VariableDeclarator¿¿1727¿thumbWidths¿¿¿{"start":{"line":41,"column":6},"end":{"line":41,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1040¿ArrayExpression¿¿1727¿¿¿¿{"start":{"line":41,"column":20},"end":{"line":41,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿ArrayExpression
1041¿Literal¿number¿1727¿¿900¿¿{"start":{"line":41,"column":21},"end":{"line":41,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1042¿Literal¿number¿1727¿¿450¿¿{"start":{"line":41,"column":26},"end":{"line":41,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1043¿VariableDeclarator¿¿1727¿extension¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1044¿ObjectExpression¿¿1727¿¿¿¿¿¿ObjectExpression
1045¿ExpressionStatement¿¿1727¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿ExpressionStatement
1046¿AssignmentExpression¿=¿1727¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿AssignmentExpression
1047¿MemberExpression¿¿1727¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿MemberExpression
1048¿Identifier¿¿1727¿extension¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1049¿Identifier¿¿1727¿jpeg¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1050¿Literal¿string¿1727¿¿'jpg'¿¿{"start":{"line":44,"column":10},"end":{"line":44,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1051¿ExpressionStatement¿¿1727¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿ExpressionStatement
1052¿AssignmentExpression¿=¿1727¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿AssignmentExpression
1053¿MemberExpression¿¿1727¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿MemberExpression
1054¿Identifier¿¿1727¿extension¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1055¿Identifier¿¿1727¿avif¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1056¿Literal¿string¿1727¿¿'avif'¿¿{"start":{"line":45,"column":10},"end":{"line":45,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Literal
1057¿VariableDeclarator¿¿1727¿sizedName¿¿¿{"start":{"line":48,"column":0},"end":{"line":54,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1058¿FunctionExpression¿¿1727¿anon¿¿¿{"start":{"line":48,"column":0},"end":{"line":54,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿FunctionExpression
1059¿Identifier¿¿0¿filename¿¿¿{"start":{"line":48,"column":19},"end":{"line":48,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1060¿Identifier¿¿0¿width¿¿¿{"start":{"line":48,"column":29},"end":{"line":48,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1061¿Identifier¿¿0¿format¿¿¿{"start":{"line":48,"column":36},"end":{"line":48,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1062¿VariableDeclarator¿¿1731¿ext¿¿¿{"start":{"line":49,"column":10},"end":{"line":49,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
1063¿MemberExpression¿computed¿1731¿¿¿¿{"start":{"line":49,"column":16},"end":{"line":49,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿MemberExpression
1064¿Identifier¿¿1731¿extension¿¿¿{"start":{"line":49,"column":16},"end":{"line":49,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1065¿Identifier¿¿1731¿format¿¿¿{"start":{"line":49,"column":26},"end":{"line":49,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿Identifier
1066¿VariableDeclarator¿¿1731¿v96¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/nestflix/img.js"}¿¿VariableDeclarator
